"corpus","user/Poehler/compar_de_v05"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"entwickelt wurde",678.050,44,0,677.048,0.000
"free software",421.930,93,569,1431.033,2.394
"eine freie",416.460,27,0,415.461,0.000
"war eine",370.300,24,0,369.299,0.000
"war ein",354.910,23,0,353.911,0.000
"doc ebook",277.970,18,0,276.974,0.000
"proprietary software",267.820,27,132,415.461,0.555
"reading device",257.620,18,19,276.974,0.080
"und die",241.170,16,6,246.199,0.025
"ebook reader",227.290,18,53,276.974,0.223
"entwickelt wird",216.420,14,0,215.424,0.000
"vor allem",185.650,12,0,184.649,0.000
"welche die",185.650,12,0,184.649,0.000
"bezeichnet man",170.260,11,0,169.262,0.000
"information stall",152.440,10,4,153.875,0.017
"traditional print book",139.490,9,0,138.487,0.000
"book-sized computer",139.490,9,0,138.487,0.000
"die den",139.490,9,0,138.487,0.000
"destructive industry",139.490,9,0,138.487,0.000
"other reading material",136.620,9,5,138.487,0.021
"non fiction",135.030,10,35,153.875,0.147
"downloadable file",133.350,9,11,138.487,0.046
"proven plan",132.840,9,12,138.487,0.050
"other reading",125.330,9,27,138.487,0.114
"und eine",124.100,8,0,123.100,0.000
"die installation",124.100,8,0,123.100,0.000
"und wurde",124.100,8,0,123.100,0.000
"und den",123.610,8,1,123.100,0.004
"free gnu",123.610,8,1,123.100,0.004
"traditional print",116.920,9,46,138.487,0.194
"print book",114.050,9,53,138.487,0.223
"popular method",112.130,9,58,138.487,0.244
"versteht man",108.710,7,0,107.712,0.000
"electronic version",97.890,9,101,138.487,0.425
"wird die",93.320,6,0,92.325,0.000
"die eine",93.320,6,0,92.325,0.000
"und quelloffener",93.320,6,0,92.325,0.000
"die sich",93.320,6,0,92.325,0.000
"wurde und",93.320,6,0,92.325,0.000
"die vom",93.320,6,0,92.325,0.000
"entwickelt wurden",93.320,6,0,92.325,0.000
"software application",89.010,10,176,153.875,0.741
"historical fiction",80.960,10,217,153.875,0.913
"und andere",77.940,5,0,76.937,0.000
"und anderen",77.940,5,0,76.937,0.000
"und damit",77.940,5,0,76.937,0.000
"source und",77.940,5,0,76.937,0.000
"wie z",77.940,5,0,76.937,0.000
"reading material",76.640,9,195,138.487,0.821
"non-free software",75.450,5,8,76.937,0.034
"den quelltext",62.550,4,0,61.550,0.000
"die die",62.550,4,0,61.550,0.000
"sowie die",62.550,4,0,61.550,0.000
"und ein",62.550,4,0,61.550,0.000
"die erste",62.550,4,0,61.550,0.000
"die freie",62.550,4,0,61.550,0.000
"eine gemeinnützige",62.550,4,0,61.550,0.000
"rund um",62.550,4,0,61.550,0.000
"und wird",62.550,4,0,61.550,0.000
"vertrieben wird",62.550,4,0,61.550,0.000
"eingeführt wurde",62.550,4,0,61.550,0.000
"dass die",62.300,4,1,61.550,0.004
"free software community",60.320,4,9,61.550,0.038
"free system",58.400,4,17,61.550,0.072
"relevant advertising",57.490,4,21,61.550,0.088
"software community",57.280,4,22,61.550,0.093
"outreach work",53.970,4,38,61.550,0.160
"free culture",53.010,4,43,61.550,0.181
"personal computer",48.220,9,450,138.487,1.894
"und unixbasierte betriebssysteme",47.160,3,0,46.162,0.000
"unixbasierte betriebssysteme",47.160,3,0,46.162,0.000
"eine non-profit-organisation",47.160,3,0,46.162,0.000
"um andere",47.160,3,0,46.162,0.000
"um audio",47.160,3,0,46.162,0.000
"autoconf und automake",47.160,3,0,46.162,0.000
"und automake",47.160,3,0,46.162,0.000
"und davon",47.160,3,0,46.162,0.000
"gemäß den",47.160,3,0,46.162,0.000
"um den",47.160,3,0,46.162,0.000
"war die",47.160,3,0,46.162,0.000
"sind eine",47.160,3,0,46.162,0.000
"wurde eine",47.160,3,0,46.162,0.000
"den quelltext ermöglichen",47.160,3,0,46.162,0.000
"quelltext ermöglichen",47.160,3,0,46.162,0.000
"einigen ernsthaften",47.160,3,0,46.162,0.000
"und erweitern",47.160,3,0,46.162,0.000
"source führt",47.160,3,0,46.162,0.000
"und genutzt",47.160,3,0,46.162,0.000
"entwickelt hat",47.160,3,0,46.162,0.000
"entwickelt hatten",47.160,3,0,46.162,0.000
"die keine",47.160,3,0,46.162,0.000
"und keine",47.160,3,0,46.162,0.000
"eine kostenlose",47.160,3,0,46.162,0.000
"oder kurz",47.160,3,0,46.162,0.000
"wie man",47.160,3,0,46.162,0.000
"und nicht",47.160,3,0,46.162,0.000
"eine offene",47.160,3,0,46.162,0.000
"promotion of free software",47.160,3,0,46.162,0.000
"die rund",47.160,3,0,46.162,0.000
"hat sich",47.160,3,0,46.162,0.000
"nonfree software",47.160,3,0,46.162,0.000
"software open source",47.160,3,0,46.162,0.000
"und open source",47.160,3,0,46.162,0.000
"den späten",47.160,3,0,46.162,0.000
"autoconf und",47.160,3,0,46.162,0.000
"fördern und",47.160,3,0,46.162,0.000
"installation und",47.160,3,0,46.162,0.000
"verbreiten und",47.160,3,0,46.162,0.000
"und unixbasierte",47.160,3,0,46.162,0.000
"wurden vom",47.160,3,0,46.162,0.000
"enthalten war",47.160,3,0,46.162,0.000
"it-evolution war",47.160,3,0,46.162,0.000
"t enthalten war",47.160,3,0,46.162,0.000
"eingesetzt wird",47.160,3,0,46.162,0.000
"veröffentlicht wird",47.160,3,0,46.162,0.000
"veröffentlicht wurde",47.160,3,0,46.162,0.000
"nur eine",46.970,3,1,46.162,0.004
"direct rendering",46.970,3,1,46.162,0.004
"recursive acronym",46.790,3,2,46.162,0.008
"information material",45.830,3,7,46.162,0.029
"unix-like operating system",45.830,3,7,46.162,0.029
"man die",45.260,3,10,46.162,0.042
"free software movement",45.090,3,11,46.162,0.046
"free operating system",45.090,3,11,46.162,0.046
"software movement",44.580,3,14,46.162,0.059
"folding table",44.580,3,14,46.162,0.059
"malicious software",42.410,4,113,61.550,0.476
"information desk",41.880,3,30,46.162,0.126
"open source software",37.630,7,449,107.712,1.889
"open source",36.830,46,4336,707.823,18.246
"source software",36.410,7,472,107.712,1.986
