"corpus","user/Poehler/compar_de_v05"
"subcorpus",""
"Item","Score","Freq","Ref_freq","Rel_freq","Rel_ref_freq"
"ist",8375.860,1034,20449,15910.630,0.900
"für",6127.260,571,9867,8786.237,0.434
"Eine",5209.970,392,3590,6031.883,0.158
"und",4603.110,889,44821,13679.449,1.972
"Ein",3799.170,477,21188,7339.817,0.932
"Freie",3641.800,249,1190,3831.477,0.052
"der",3276.040,943,77949,14510.371,3.430
"eine",2806.300,204,2703,3139.041,0.119
"auf",2527.710,240,10487,3692.989,0.461
"zu",2501.570,282,16706,4339.263,0.735
"wurde",2451.800,165,817,2538.930,0.036
"mit",2294.950,238,13551,3662.215,0.596
"unter",2059.020,141,1232,2169.631,0.054
"das",1988.170,283,27065,4354.650,1.191
"Auch",1974.670,145,2964,2231.181,0.130
"wird",1928.570,136,1946,2092.694,0.086
"GNU",1915.280,283,28960,4354.650,1.274
"Oder",1861.110,141,3780,2169.631,0.166
"Werden",1803.470,131,2688,2015.757,0.118
"von",1799.300,682,109847,10494.245,4.833
"zur",1605.780,141,7995,2169.631,0.352
"als",1512.550,151,12201,2323.506,0.537
"entwickelt",1364.900,89,93,1369.484,0.004
"einer",1338.650,95,2108,1461.808,0.093
"Schweiz",1328.280,105,4935,1615.683,0.217
"Juli",1310.050,105,5320,1615.683,0.234
"Freier",1240.290,82,412,1261.771,0.018
"nicht",1238.660,101,5807,1554.133,0.255
"einem",1228.090,86,1781,1323.321,0.078
"Daten",1162.260,76,160,1169.447,0.007
"Kurz",1152.320,83,2482,1277.159,0.109
"bei",1127.960,90,5197,1384.871,0.229
"freie",1076.890,70,26,1077.122,0.001
"dem",1002.190,138,25452,2123.469,1.120
"zum",980.600,71,2617,1092.509,0.115
"Sind",881.690,69,4667,1061.734,0.205
"durch",877.890,62,1997,954.022,0.088
"wie",876.510,65,3233,1000.185,0.142
"Sich",848.520,64,3677,984.797,0.162
"über",828.470,62,3472,954.022,0.153
"ein",825.710,61,3136,938.635,0.138
"MPA",771.880,98,21704,1507.971,0.955
"Entwicklung",760.010,50,310,769.373,0.014
"Kann",746.190,55,3080,846.310,0.136
"Das",701.060,105,29685,1615.683,1.306
"können",682.830,45,353,692.436,0.016
"aus",656.210,56,7152,861.698,0.315
"Debian",638.650,109,36997,1677.233,1.628
"Quelle",627.730,44,1822,677.048,0.080
"oder",616.300,46,3412,707.823,0.150
"Betriebssystem",616.120,40,14,615.498,0.001
"ursprünglich",585.540,38,7,584.723,0.000
"bezeichnet",584.160,38,61,584.723,0.003
"DVW",583.460,38,88,584.723,0.004
